,case_ids,xml_path,image_paths
0,ccr185006891,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1850.06891.066.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_066.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_059.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_065.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_064.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_058.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_060.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_048.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_049.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_061.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_063.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_062.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_039.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_011.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_008.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_038.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_012.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_013.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_017.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_016.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_014.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_028.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_029.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_015.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_018.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_030.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_024.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_025.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_031.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_019.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_027.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_033.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_032.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_026.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_022.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_036.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_037.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_023.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_035.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_021.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/0068_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_008.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_020.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_034.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_053.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_047.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_046.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_052.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_044.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_050.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_051.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_045.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_041.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_055.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_054.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_040.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_056.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_042.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_043.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6891_057.tif||
1,ccr183527323,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1835.27323.006.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27323_004.tif||
2,ccr183527322,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1835.27322.006.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/27322_001.tif||
3,ccr182506909,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1825.06909.004.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6909_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6909_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6909_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6909_001.tif||
4,ccr183106736,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1831.06736.010.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/1067_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/1067_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/1067_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/1067_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6736_008.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/1067_004.tif||
5,ccr181025419,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1810.25419.004.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/25419_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/25419_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/25419_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/25419_004.tif||
6,ccr18470000,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1847.0000.014.xmldlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1847.0000.036.xmldlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1847.0000.034.xml,
7,ccr182505529,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1825.05529.018.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_018.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_008.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_011.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_013.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_012.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_016.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_017.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_015.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/5529_014.tif||
8,ccr183106735,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1831.06735.019.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_011.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_012.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_013.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_017.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_003.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_016.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_014.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_015.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_018.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_019.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6735_008.tif||
9,ccr184206857,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/ccr1842.06857.010.xml,dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_008.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_009.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_007.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_006.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_004.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_010.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_005.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_001.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_002.tif||dlps/dlps_digitalassets/Goldenseal-Staging/ccr/6857_003.tif||
